district,cses_district_id,valid_votes,total_votes,eligible_voters,m
"First Constituency, Taipei County",1.00,498262.00,506148.00,736128.00,8.00
"Second Constituency, Taipei County",1.00,600959.00,610602.00,911610.00,10.00
"Third Constituency, Taipei County",1.00,587252.00,595102.00,863335.00,9.00
Yilan County,2.00,204046.00,206230.00,323032.00,4.00
Taoyuan County,3.00,786642.00,798551.00,1165237.00,13.00
Hsinchu County,4.00,204107.00,207626.00,294030.00,3.00
Miaoli County,5.00,259114.00,262833.00,390370.00,4.00
Taichung County,6.00,661669.00,671994.00,1013034.00,11.00
Changhua County,7.00,614430.00,623849.00,915095.00,10.00
Nantou County,8.00,247254.00,249798.00,371042.00,4.00
Yunlin County,9.00,338424.00,343374.00,541514.00,6.00
Chiayi County,10.00,261700.00,266357.00,411071.00,4.00
Tainan County,11.00,532857.00,539060.00,800940.00,8.00
Kaohsiung County,12.00,578730.00,585600.00,880896.00,9.00
Pingtung County,13.00,409774.00,414495.00,619161.00,7.00
Taitung County,14.00,71156.00,72251.00,122239.00,1.00
Hualien County,15.00,117947.00,120037.00,195975.00,2.00
Penghu County,16.00,40022.00,40658.00,67168.00,1.00
Keelung City,17.00,172074.00,174705.00,276434.00,3.00
Hsinchu,18.00,161768.00,164190.00,256635.00,3.00
Taichung City,19.00,432572.00,439107.00,664334.00,7.00
Chiayi City,20.00,119970.00,121467.00,186527.00,2.00
Tainan City,21.00,328303.00,332374.00,522165.00,6.00
Kinmen County,,25025.00,25682.00,39922.00,1.00
Lianjiang County,,4552.00,4671.00,6209.00,1.00
"First Constituency, Taipei",63.00,619102.00,625377.00,972088.00,10.00
"Second Constituency, Taipei",63.00,602200.00,607904.00,942490.00,10.00
"First Constituency, Kaohsiung ",64.00,390190.00,394065.00,600021.00,6.00
"Second Constituency, Kaohsiung ",64.00,303904.00,307346.00,461495.00,5.00
